KUTEN    JIS    EUC    Shift-JIS 1st Byte    Shift-JIS 2nd Byte
01       21     A1     81                    40 9F
02       22     A2     81                    41 A0
03       23     A3     82                    42 A1
04       24     A4     82                    43 A2
05       25     A5     83                    44 A3
06       26     A6     83                    45 A4
07       27     A7     84                    46 A5
08       28     A8     84                    47 A6
09       29     A9     85                    48 A7
10       2A     AA     85                    49 A8
11       2B     AB     86                    4A A9
12       2C     AC     86                    4B AA
13       2D     AD     87                    4C AB
14       2E     AE     87                    4D AC
15       2F     AF     88                    4E AD
16       30     B0     88                    4F AE
17       31     B1     89                    50 AF
18       32     B2     89                    51 B0
19       33     B3     8A                    52 B1
20       34     B4     8A                    53 B2
21       35     B5     8B                    54 B3
22       36     B6     8B                    55 B4
23       37     B7     8C                    56 B5
24       38     B8     8C                    57 B6
25       39     B9     8D                    58 B7
26       3A     BA     8D                    59 B8
27       3B     BB     8E                    5A B9
28       3C     BC     8E                    5B BA
29       3D     BD     8F                    5C BB
30       3E     BE     8F                    5D BC
31       3F     BF     90                    5E BD
32       40     C0     90                    5F BE
33       41     C1     91                    60 BF
34       42     C2     91                    61 C0
35       43     C3     92                    62 C1
36       44     C4     92                    63 C2
37       45     C5     93                    64 C3
38       46     C6     93                    65 C4
39       47     C7     94                    66 C5
40       48     C8     94                    67 C6
41       49     C9     95                    68 C7
42       4A     CA     95                    69 C8
43       4B     CB     96                    6A C9
44       4C     CC     96                    6B CA
45       4D     CD     97                    6C CB
46       4E     CE     97                    6D CC
47       4F     CF     98                    6E CD
48       50     D0     98                    6F CE
49       51     D1     99                    70 CF
50       52     D2     99                    71 D0
51       53     D3     9A                    72 D1
52       54     D4     9A                    73 D2
53       55     D5     9B                    74 D3
54       56     D6     9B                    75 D4
55       57     D7     9C                    76 D5
56       58     D8     9C                    77 D6
57       59     D9     9D                    78 D7
58       5A     DA     9D                    79 D8
59       5B     DB     9E                    7A D9
60       5C     DC     9E                    7B DA
61       5D     DD     9F                    7C DB
62       5E     DE     9F                    7D DC
63       5F     DF     E0                    7E DD
64       60     E0     E0                    80 DE
65       61     E1     E1                    81 DF
66       62     E2     E1                    82 E0
67       63     E3     E2                    83 E1
68       64     E4     E2                    84 E2
69       65     E5     E3                    85 E3
70       66     E6     E3                    86 E4
71       67     E7     E4                    87 E5
72       68     E8     E4                    88 E6
73       69     E9     E5                    89 E7
74       6A     EA     E5                    8A E8
75       6B     EB     E6                    8B E9
76       6C     EC     E6                    8C EA
77       6D     ED     E7                    8D EB
78       6E     EE     E7                    8E EC
79       6F     EF     E8                    8F ED
80       70     F0     E8                    90 EE
81       71     F1     E9                    91 EF
82       72     F2     E9                    92 F0
83       73     F3     EA                    93 F1
84       74     F4     EA                    94 F2
85       75     F5     EB                    95 F3
86       76     F6     EB                    96 F4
87       77     F7     EC                    97 F5
88       78     F8     EC                    98 F6
89       79     F9     ED                    99 F7
90       7A     FA     ED                    9A F8
91       7B     FB     EE                    9B F9
92       7C     FC     EE                    9C FA
93       7D     FD     EF                    9D FB
94       7E     FE     EF                    9E FC
