1986	1992
^^^^	^^^^
66-39	01-47
66-40	01-57
66-41	01-81
66-42	01-83
66-43	02-20
66-44	02-32
66-45	02-37
66-46	02-54
66-47	02-57
66-48	02-65
66-49	02-81
66-50	02-83
66-51	03-18
66-52	03-81
66-53	03-91
66-54	04-17
66-55	04-38
66-56	04-39
66-57	05-27
66-58	05-48
66-59	06-01
66-60	06-03
66-61	06-18
66-62	06-66
66-63	06-69
66-64	06-91
66-65	06-93
66-66	08-28
66-67	08-30
66-68	09-17
66-69	09-21
66-70	09-22
66-71	09-31
66-72	09-79
66-73	09-82
66-74	10-06
66-75	10-24
66-76	10-50
66-77	10-73
66-78	10-78
66-79	11-73
66-80	12-30
66-81	12-60
66-82	12-65
66-83	13-28
66-84	13-43
66-85	13-44
66-86	13-45
66-87	13-50
66-88	13-59
66-89	13-85
66-90	14-02
66-91	14-17
66-92	14-42
66-93	14-66
66-94	14-68
67-01	15-83
67-02	16-12
67-03	16-26
67-04	16-30
67-05	16-33
67-06	16-45
67-07	17-76
67-08	18-55
67-09	18-58
67-10	18-86
67-11	19-16
67-12	19-65
67-13	19-90
67-14	20-48
67-15	20-83
67-16	21-29
67-17	21-83
67-18	21-85
67-19	21-90
67-20	22-13
67-21	22-75
67-22	22-79
67-23	22-81
67-24	23-18
67-25	23-79
67-26	23-80
67-27	24-02
67-28	24-15
67-29	24-63
67-30	24-65
67-31	24-66
67-32	26-65
67-33	26-76
67-34	27-49
67-35	28-51
67-36	28-56
67-37	28-78
67-38	29-61
67-39	30-43
67-40	30-72
67-41	31-29
67-42	32-88
67-43	33-01
67-44	34-13
67-45	34-21
67-46	34-23
67-47	34-70
67-48	35-26
67-49	35-48
67-50	35-89
67-51	35-90
67-52	36-17
67-53	36-45
67-54	38-19
67-55	38-68
67-56	39-76
67-57	39-77
67-58	39-81
67-59	39-86
67-60	40-20
67-61	40-61
67-62	41-10
67-63	41-47
67-64	41-51
67-65	41-53
67-66	41-60
67-67	42-55
67-68	42-72
67-69	43-31
67-70	43-88
67-71	44-01
67-72	45-01
67-73	45-04
67-74	45-56
67-75	45-59
67-76	46-27
67-77	46-44
67-78	46-58
67-79	48-01
67-80	48-50
67-81	48-68
67-82	48-71
67-83	48-78
67-84	49-03
67-85	49-24
67-86	51-12
67-87	52-44
67-88	53-52
67-89	54-62
67-90	57-28
67-91	57-80
67-92	59-91
67-93	60-84
67-94	57-53
68-01	64-10
68-02	64-79
68-03	65-83
68-04	65-84
68-05	67-49
68-06	67-63
68-07	67-73
68-08	68-47
68-09	68-76
68-10	69-12
68-11	70-59
68-12	70-74
68-13	71-27
68-14	71-67
68-15	72-30
68-16	73-58
68-17	75-09
68-18	75-84
68-19	77-23
68-20	78-23
68-21	78-59
