Ê¹	42-25,45-47	8CC8,F903	°¡,°í	ga,go
Ë½	43-29,90-02	964D,FA09	°­,Ç×	gang,hang
ÑÂ	43-48,49-34	F900,8C48	°³,±â	gae,gi
ÌÚ	43-54,44-58	F901,66F4	°»,°æ	gaeng,gyeong
ó³	43-71,83-19	F902,8ECA	°Å,Â÷	geo,ca
Ì¸	44-24,90-70	898B,FA0A	°ß,Çö	gyeon,hyeon
Ìø	44-88,48-48	5951,F909	°è,±Û	gye,geul
üÁ	45-72,92-33	F904,6ED1	°ñ,È°	gol,hwal
Íú	45-90,46-13	4E32,F905	°ù,°ü	goj,gwan
Î©	46-09,92-09	5ED3,FA0B	°û,È®	gwag,hwag
Ï£	47-03,47-91	53E5,F906	±¸,±Í	gu,gwi
ÏÏ	47-47,48-02,48-24	9F9C,F907,F908	±¸,±Í,±Õ	gu,gwi,gyun
ÑÑ	48-61,49-49	F90A,91D1	±Ý,±è	geum,gim
Ôú	49-52,52-90	F90B,5587	³ª,¶ó	na,ra
Ò¯	49-53,50-15	F90C,5948	³ª,³»	na,nae
Ôû	49-56,52-91	F90D,61F6	³ª,¶ó	na,ra
ÑÙ	49-57,52-92	62CF,F95B	³ª,¶ó	na,ra
Ôý	49-59,52-93	F90E,7669	³ª,¶ó	na,ra
Ôþ	49-60,52-94	F90F,7F85	³ª,¶ó	na,ra
Õ¡	49-61,53-01	F910,863F	³ª,¶ó	na,ra
Õ¢	49-62,53-02	F911,87BA	³ª,¶ó	na,ra
Õ£	49-63,53-03	F912,88F8	³ª,¶ó	na,ra
Õ¤	49-64,53-04	F913,908F	³ª,¶ó	na,ra
äÅ	49-66,53-05,68-37,72-89	F914,F95C,6A02,F9BF	³«,¶ô,¾Ç,¿ä	nag,rag,ag,yo
Õ¦	49-67,53-06	F915,6D1B	³«,¶ô	nag,rag
Õ§	49-68,53-07	F916,70D9	³«,¶ô	nag,rag
Õ¨	49-69,53-08	F917,73DE	³«,¶ô	nag,rag
Õª	49-70,53-10	F918,843D	³«,¶ô	nag,rag
Ñç	49-71,53-11	8AFE,F95D	³«,¶ô	nag,rag
Õ¬	49-72,53-12	F919,916A	³«,¶ô	nag,rag
Õ­	49-73,53-13	F91A,99F1	³«,¶ô	nag,rag
Õ¯	49-74,53-15	F91B,4E82	³­,¶õ	nan,ran
Õ°	49-75,53-16	F91C,5375	³­,¶õ	nan,ran
Õ±	49-77,53-17	F91D,6B04	³­,¶õ	nan,ran
Õ´	49-79,53-20	F91E,721B	³­,¶õ	nan,ran
Õµ	49-80,53-21	F91F,862D	³­,¶õ	nan,ran
Õ¶	49-82,53-22	F920,9E1E	³­,¶õ	nan,ran
Õ¹	49-86,53-25	F921,5D50	³²,¶÷	nam,ram
Õ½	49-90,53-29	F922,6FEB	³²,¶÷	nam,ram
ÕÀ	49-92,53-32	F923,85CD	³²,¶÷	nam,ram
ÕÁ	49-93,53-33	F924,8964	³²,¶÷	nam,ram
ÕÃ	49-94,53-35	F925,62C9	³³,¶ø	nab,rab
ÕÄ	50-02,53-36	F926,81D8	³³,¶ø	nab,rab
ÕÅ	50-03,53-37	F927,881F	³³,¶ø	nab,rab
ÕÆ	50-07,53-38	F928,5ECA	³¶,¶û	nang,rang
ÕÇ	50-08,53-39	F929,6717	³¶,¶û	nang,rang
ÕÈ	50-09,53-40	F92A,6D6A	³¶,¶û	nang,rang
ÕÉ	50-10,53-41	F92B,72FC	³¶,¶û	nang,rang
ÕÍ	50-11,53-45	F92C,90DE	³¶,¶û	nang,rang
ÕÎ	50-13,53-46	F92D,4F86	³»,·¡	nae,rae
ÕÒ	50-18,53-50	F92E,51B7	³Ã,·©	naeng,raeng
Ò³	50-19,69-92	5973,F981	³à,¿©	nyeo,yeo
Ò´	50-20,70-36	5E74,F98E	³â,¿¬	nyeon,yeon
Òµ	50-21,70-42	649A,F991	³â,¿¬	nyeon,yeon
Ò¶	50-22,70-60	79CA,F995	³â,¿¬	nyeon,yeon
Ò·	50-23,70-86	5FF5,F9A3	³ä,¿°	nyeom,yeom
Òº	50-26,70-87	637B,F9A4	³ä,¿°	nyeom,yeom
Ò»	50-27,54-24,71-12	5BE7,F95F,F9AA	³ç,·É,¿µ	nyeong,ryeong,yeong
ÖÌ	50-30,54-44	F92F,52DE	³ë,·Î	no,ro
ÒÁ	50-33,54-45	6012,F960	³ë,·Î	no,ro
ÖÏ	50-34,54-47	F930,64C4	³ë,·Î	no,ro
ÖÐ	50-35,54-48	F931,6AD3	³ë,·Î	no,ro
ÖÓ	50-36,54-51	F932,7210	³ë,·Î	no,ro
ÖÔ	50-38,54-52	F933,76E7	³ë,·Î	no,ro
ÖÕ	50-39,54-53	F934,8001	³ë,·Î	no,ro
ÖÖ	50-40,54-54	F935,8606	³ë,·Î	no,ro
Ö×	50-41,54-55	F936,865C	³ë,·Î	no,ro
ÖØ	50-42,54-56	F937,8DEF	³ë,·Î	no,ro
ÖÚ	50-43,54-58	F938,9732	³ë,·Î	no,ro
ÖÛ	50-45,54-59	F939,9B6F	³ë,·Î	no,ro
ÖÜ	50-46,54-60	F93A,9DFA	³ë,·Î	no,ro
ÖÞ	50-47,54-62	F93B,788C	³ì,·Ï	nog,rog
Öß	50-48,54-63	F93C,797F	³ì,·Ï	nog,rog
Öà	50-49,54-64	F93D,7DA0	³ì,·Ï	nog,rog
Öá	50-50,54-65	F93E,83C9	³ì,·Ï	nog,rog
Öâ	50-51,54-66	F93F,9304	³ì,·Ï	nog,rog
Öã	50-52,54-67	F940,9E7F	³ì,·Ï	nog,rog
Öå	50-53,54-69	F941,8AD6	³í,·Ð	non,ron
Öæ	50-54,54-70	F942,58DF	³ó,·Õ	nong,rong
Öç	50-55,54-71	F943,5F04	³ó,·Õ	nong,rong
Öë	50-57,54-75	F944,7C60	³ó,·Õ	nong,rong
Öì	50-58,54-76	F945,807E	³ó,·Õ	nong,rong
Öï	50-62,54-79	F946,7262	³ú,·Ú	noe,roe
Öð	50-63,54-80	F947,78CA	³ú,·Ú	noe,roe
Öñ	50-65,54-81	F948,8CC2	³ú,·Ú	noe,roe
Öô	50-66,54-84	F949,96F7	³ú,·Ú	noe,roe
Òã	50-67,72-81	5C3F,F9BD	´¢,¿ä	nyo,yo
×¤	50-68,55-04	F94A,58D8	´©,·ç	nu,ru
×¦	50-69,55-06	F94B,5C62	´©,·ç	nu,ru
×§	50-70,55-07	F94C,6A13	´©,·ç	nu,ru
×¨	50-71,55-08	F94D,6DDA	´©,·ç	nu,ru
×©	50-72,55-09	F94E,6F0F	´©,·ç	nu,ru
×«	50-73,55-11	F94F,7D2F	´©,·ç	nu,ru
×¬	50-74,55-12	F950,7E37	´©,·ç	nu,ru
×°	50-75,55-16	F951,964B	´©,·ç	nu,ru
Òî	50-78,74-84	677B,F9C8	´º,À¯	nyu,yu
Òï	50-79,75-10	7D10,F9CF	´º,À¯	nyu,yu
×Í	50-80,55-45	F952,52D2	´Á,¸¤	neug,reug
×Î	50-81,55-46	F953,808B	´Á,¸¤	neug,reug
×Ï	50-82,55-47	F954,51DC	´Æ,¸§	neum,reum
×Ð	50-83,55-48	F955,51CC	´É,¸ª	neung,reung
×Ò	50-84,55-50	F956,7A1C	´É,¸ª	neung,reung
×Ó	50-85,55-51	F957,7DBE	´É,¸ª	neung,reung
×Ô	50-87,55-52	F958,83F1	´É,¸ª	neung,reung
×Õ	50-88,55-53	F959,9675	´É,¸ª	neung,reung
Òú	50-90,76-18	6CE5,F9E3	´Ï,ÀÌ	ni,i
Òû	50-91,76-41	533F,F9EB	´Ð,ÀÍ	nig,ig
Òü	50-92,76-42	6EBA,F9EC	´Ð,ÀÍ	nig,ig
Òþ	50-94,83-17	8336,F9FE	´Ù,Â÷	da,ca
Ó¡	51-01,53-14	4E39,F95E	´Ü,¶õ	dan,ran
ÓØ	51-56,87-24	7CD6,FA03	´ç,ÅÁ	dang,tang
Óë	51-75,87-40	5B85,FA04	´ì,ÅÃ	daeg,taeg
Óø	51-88,86-84	5EA6,FA01	µµ,Å¹	do,tag
ÔÁ	52-33,52-70	8B80,F95A	µ¶,µÎ	dog,du
Ô×	52-55,87-51	6D1E,FA05	µ¿,Åë	dong,tong
ÕÓ	53-51,69-17	63A0,F975	·«,¾à	ryag,yag
ÕÔ	53-52,69-18	7565,F976	·«,¾à	ryag,yag
ÕÕ	53-53,69-25	4EAE,F977	·®,¾ç	ryang,yang
Õ×	53-55,69-27	5169,F978	·®,¾ç	ryang,yang
ÕØ	53-56,69-28	51C9,F979	·®,¾ç	ryang,yang
ÕÙ	53-57,69-36	6881,F97A	·®,¾ç	ryang,yang
ÕÝ	53-61,69-46	7CE7,F97B	·®,¾ç	ryang,yang
ÕÞ	53-62,69-48	826F,F97C	·®,¾ç	ryang,yang
Õß	53-63,69-50	8AD2,F97D	·®,¾ç	ryang,yang
Õá	53-65,69-54	91CF,F97E	·®,¾ç	ryang,yang
Õä	53-68,69-90	52F5,F97F	·Á,¿©	ryeo,yeo
Õå	53-69,69-91	5442,F980	·Á,¿©	ryeo,yeo
Õæ	53-70,69-94	5EEC,F982	·Á,¿©	ryeo,yeo
Õé	53-73,70-01	65C5,F983	·Á,¿©	ryeo,yeo
Õë	53-75,70-04	6FFE,F984	·Á,¿©	ryeo,yeo
Õì	53-76,70-07	792A,F985	·Á,¿©	ryeo,yeo
Õï	53-79,70-13	95AD,F986	·Á,¿©	ryeo,yeo
Õñ	53-81,70-15	9A6A,F987	·Á,¿©	ryeo,yeo
Õò	53-82,70-16	9E97,F988	·Á,¿©	ryeo,yeo
Õó	53-83,70-17	9ECE,F989	·Á,¿©	ryeo,yeo
Õô	53-84,70-19	529B,F98A	·Â,¿ª	ryeog,yeog
Õõ	53-85,70-23	66C6,F98B	·Â,¿ª	ryeog,yeog
Õö	53-86,70-24	6B77,F98C	·Â,¿ª	ryeog,yeog
Õù	53-89,70-28	8F62,F98D	·Â,¿ª	ryeog,yeog
Õû	53-91,70-38	6190,F98F	·Ã,¿¬	ryeon,yeon
Õü	53-92,70-39	6200,F990	·Ã,¿¬	ryeon,yeon
Õþ	53-94,70-50	6F23,F992	·Ã,¿¬	ryeon,yeon
Ö¡	54-01,70-54	7149,F993	·Ã,¿¬	ryeon,yeon
Ö¢	54-02,70-57	7489,F994	·Ã,¿¬	ryeon,yeon
Ö£	54-03,70-63	7DF4,F996	·Ã,¿¬	ryeon,yeon
Ö¤	54-04,70-65	806F,F997	·Ã,¿¬	ryeon,yeon
Ö¥	54-05,70-69	84EE,F999	·Ã,¿¬	ryeon,yeon
Ö¦	54-06,70-68	8F26,F998	·Ã,¿¬	ryeon,yeon
Ö§	54-07,70-70	9023,F99A	·Ã,¿¬	ryeon,yeon
Ö¨	54-08,70-72	934A,F99B	·Ã,¿¬	ryeon,yeon
Öª	54-10,70-74	5217,F99C	·Ä,¿­	ryeol,yeol
Ö«	54-11,70-75	52A3,F99D	·Ä,¿­	ryeol,yeol
Ö­	54-13,70-79	70C8,F99F	·Ä,¿­	ryeol,yeol
Ö®	54-14,70-81	88C2,F9A0	·Ä,¿­	ryeol,yeol
Ö¯	54-15,70-85	5EC9,F9A2	·Å,¿°	ryeom,yeom
Ö±	54-17,70-89	6BAE,F9A5	·Å,¿°	ryeom,yeom
Ö³	54-19,71-01	7C3E,F9A6	·Å,¿°	ryeom,yeom
Ö´	54-20,71-06	7375,F9A7	·Æ,¿±	ryeob,yeob
Öµ	54-21,71-09	4EE4,F9A8	·É,¿µ	ryeong,yeong
Ö·	54-23,71-10	56F9,F9A9	·É,¿µ	ryeong,yeong
Öº	54-26,71-13	5DBA,F9AB	·É,¿µ	ryeong,yeong
Ö»	54-27,71-16	601C,F9AC	·É,¿µ	ryeong,yeong
Ö¼	54-28,71-31	73B2,F9AD	·É,¿µ	ryeong,yeong
Ö¾	54-30,71-38	7F9A,F9AF	·É,¿µ	ryeong,yeong
ÖÀ	54-32,71-39	8046,F9B0	·É,¿µ	ryeong,yeong
ÖÂ	54-34,71-43	9234,F9B1	·É,¿µ	ryeong,yeong
ÖÃ	54-35,71-45	96F6,F9B2	·É,¿µ	ryeong,yeong
ÖÄ	54-36,71-47	9748,F9B3	·É,¿µ	ryeong,yeong
ÖÅ	54-37,71-48	9818,F9B4	·É,¿µ	ryeong,yeong
ÖÇ	54-39,71-51	4F8B,F9B5	·Ê,¿¹	rye,ye
ÖÉ	54-41,71-63	79AE,F9B6	·Ê,¿¹	rye,ye
ÖÊ	54-42,71-68	91B4,F9B7	·Ê,¿¹	rye,ye
ÖË	54-43,71-70	96B7,F9B8	·Ê,¿¹	rye,ye
Öõ	54-85,72-71	4E86,F9BA	·á,¿ä	ryo,yo
Öö	54-86,72-72	50DA,F9BB	·á,¿ä	ryo,yo
Ö÷	54-87,72-80	5BEE,F9BC	·á,¿ä	ryo,yo
Öù	54-89,72-87	6599,F9BE	·á,¿ä	ryo,yo
Öú	54-90,72-91	71CE,F9C0	·á,¿ä	ryo,yo
Öû	54-91,72-94	7642,F9C1	·á,¿ä	ryo,yo
Öþ	54-94,73-07	84FC,F9C2	·á,¿ä	ryo,yo
×¡	55-01,73-12	907C,F9C3	·á,¿ä	ryo,yo
×£	55-03,73-44	9F8D,F9C4	·æ,¿ë	ryong,yong
×±	55-17,74-69	5289,F9C7	·ù,À¯	ryu,yu
×³	55-19,74-87	67F3,F9C9	·ù,À¯	ryu,yu
×µ	55-21,74-92	6D41,F9CA	·ù,À¯	ryu,yu
×¶	55-22,74-94	6E9C,F9CB	·ù,À¯	ryu,yu
×¸	55-24,75-04	7409,F9CC	·ù,À¯	ryu,yu
×º	55-26,75-07	7559,F9CD	·ù,À¯	ryu,yu
×¼	55-28,75-09	786B,F9CE	·ù,À¯	ryu,yu
×¾	55-30,75-26	985E,F9D0	·ù,À¯	ryu,yu
×¿	55-31,75-27	516D,F9D1	·ú,À°	ryug,yug
×À	55-32,75-29	622E,F9D2	·ú,À°	ryug,yug
×Á	55-33,75-33	9678,F9D3	·ú,À°	ryug,yug
×Ã	55-35,75-34	502B,F9D4	·û,À±	ryun,yun
×Ä	55-36,75-38	5D19,F9D5	·û,À±	ryun,yun
×Å	55-37,75-39	6DEA,F9D6	·û,À±	ryun,yun
×Ç	55-39,75-44	8F2A,F9D7	·û,À±	ryun,yun
×È	55-40,75-47	5F8B,F9D8	·ü,À²	ryul,yul
×É	55-41,75-48	6144,F9D9	·ü,À²	ryul,yul
×Ê	55-42,75-49	6817,F9DA	·ü,À²	ryul,yul
áã	55-43,65-67,75-50	F961,7387,F9DB	·ü,¼Ö,À²	ryul,sol,yul
×Ì	55-44,75-56	9686,F9DC	¸¢,À¶	ryung,yung
××	55-55,76-06	5229,F9DD	¸®,ÀÌ	ri,i
×Ù	55-57,76-07	540F,F9DE	¸®,ÀÌ	ri,i
×Û	55-59,76-10	5C65,F9DF	¸®,ÀÌ	ri,i
×Ý	55-61,76-16	674E,F9E1	¸®,ÀÌ	ri,i
×Þ	55-62,76-17	68A8,F9E2	¸®,ÀÌ	ri,i
×â	55-66,76-21	7406,F9E4	¸®,ÀÌ	ri,i
ì¶	55-68,76-22	F962,7570	¸®,ÀÌ	ri,i
×å	55-69,76-24	75E2,F9E5	¸®,ÀÌ	ri,i
×ç	55-71,76-26	7F79,F9E6	¸®,ÀÌ	ri,i
×ê	55-74,76-32	88CF,F9E7	¸®,ÀÌ	ri,i
×ë	55-75,76-33	88E1,F9E8	¸®,ÀÌ	ri,i
×ì	55-76,76-37	91CC,F9E9	¸®,ÀÌ	ri,i
×î	55-78,76-38	96E2,F9EA	¸®,ÀÌ	ri,i
×ð	55-80,76-53	541D,F9ED	¸°,ÀÎ	rin,in
×ò	55-82,76-61	71D0,F9EE	¸°,ÀÎ	rin,in
×ó	55-83,76-62	7498,F9EF	¸°,ÀÎ	rin,in
×ô	55-84,76-65	85FA,F9F0	¸°,ÀÎ	rin,in
×ö	55-86,76-68	96A3,F9F1	¸°,ÀÎ	rin,in
×÷	55-87,76-71	9C57,F9F2	¸°,ÀÎ	rin,in
×ø	55-88,76-72	9E9F,F9F3	¸°,ÀÎ	rin,in
×ù	55-89,76-87	6797,F9F4	¸²,ÀÓ	rim,im
×ú	55-90,76-88	6DCB,F9F5	¸²,ÀÓ	rim,im
×ü	55-92,76-90	81E8,F9F6	¸²,ÀÓ	rim,im
Ø¡	56-01,77-01	7ACB,F9F7	¸³,ÀÔ	rib,ib
Ø¢	56-02,77-02	7B20,F9F8	¸³,ÀÔ	rib,ib
Ø£	56-03,77-03	7C92,F9F9	¸³,ÀÔ	rib,ib
Úò	58-82,59-68	78FB,F964	¹Ý,¹ø	ban,beon
ÝÁ	59-37,61-33	F963,5317	¹è,ºÏ	bae,bug
øµ	60-05,88-21	F965,4FBF	º¯,Æí	byeon,pyeon
ÜÖ	60-54,61-05	5FA9,F966	º¹,ºÎ	bog,bu
Üß	60-63,88-80	8F3B,FA07	º¹,Æø	bog,pog
Üô	60-84,61-53	4E0D,F967	ºÎ,ºÒ	bu,bul
ù²	61-84,89-18	F968,6CCC	ºñ,ÇÊ	bi,pil
â¦	62-92,66-06	F969,6578	»è,¼ö	sag,su
ßã	62-94,63-67	F96A,7D22	»è,»ö	sag,saeg
ß¯	63-15,65-77	6BBA,F970	»ì,¼â	sal,swae
óÑ	63-19,83-49	F96B,53C3	»ï,Âü	sam,cam
